"Archipack Material","Archipack Matériaux"
"Add Archipack","Ajouter Archipack"
"Window","Fenêtre"
"Door","Porte"
"Stair","Escalier"
"Wall","Mur"
"Fence","Barrière"
"Truss","Poutre Treillis"
"Slab curve","Dalle par courbe"
"->Wall","->Mur"
"->Slab","->Dalle"
"->Ceiling","->Plafond"
"Roof","Toit"
"Archipack Tools","Archipack Outils"
"Auto boolean","Auto booléen"
"AutoBoolean","AutoBooléen"
"Generate preset thumbs","Vignettes de presets"
"Render preset thumbs","Cacluler les vignettes de presets"
"Manipulate","Manipuler"
"Parts","Parties"
"Close","Fermer"
"Reverse","Inverser"
"Roof","Toit"
"Roof Styles","Style de toit"
"Roof Cutter","Découpe de toit"
"Quick Edit","Edition rapide"
"Draft mode","Mode esquisse"
"L slope","Pente G"
"R slope","Pente D"
"L width","Largeur G"
"R width","Largeur D"
"Tile size","Dimensions des tuiles"
"Covering","Couverture"
"Alternate","Alterner"
"Fit x","Ajuster x"
"Fit y","Ajuster y"
"Borders","Bords"
"Valley","Couloir"
"Hip","Faîtière"
"Beam","Poutres"
"Rafter","Chevron"
"Hip rafter","Chevron faîtière"
"Ridge pole","Poutre Faîtière"
"Gutter","Gouttière"
"Small width","Boudin"
"Fascia","Larmier"
"Bargeboard","Vire-vents"
"Triangular end","Extremité triangulaire"
"Link to","Lié à"
"->Wall","->Mur"
"Fit roof","Ajuster au toit"
"T Link","Lien T"
"Start angle","Angle de départ"
"Splits","Segments"
"Slab","Dalle"
"Slab Cutter","Découpe de dalle"
"Balcony","Balcon"
"From curve","Par courbe"
"Flooring","Sol"
"Floor Cutter","Découpe de sol"
"Floor preset","Style de sol"
"Random Offset","Décalage aléatoire"
"Random Thickness","Epaisseur aléatoire"
"Add Grout","Ajouter Mortier"
"Random Material","Matériau aléatoire"
"Variance","Variation"
"Boards","Planches" 
"Square Parquet","Parquet carré"
"Herringbone Parquet","Parquet en épis"
"Herringbone","Epis"
"Regular Tile","Carrelage régulier"
"Hopscotch","Marelle"
"Stepping Stone","Etapes"
"Hexagon","Héxagone"
"Windmill","Moulin"
"Fence","Barrière"
"Fence Styles","Styles de barrière"
"Handrail","Main courante"
"Slice","Découper"
"Post","Poteau"
"Subs","Damettes"
"Panels","Panneaux"
"Circle over square","Cercle sur carré"
"Straight fence","Barrière droite"
"Curved fence","Barrière courbée"
"Glass","Verre"
"Stair","Escalier"
"Stair style","Style d'escalier"
"Nosing","Nez"
"Closed","Fermé"
"Open","Ouvert"
"Full height","Pleine hauteur"
"Curved","Courbe"
"Going","Marche"
"User defined stair","Escalier utilisateur"
"U stair","Escalier U"
"O stair","Escalier O"
"I stair","Escalier I"
"L stair","Escalier L"
"Door","Porte"
"Door Presets","Style de porte"
"Handle","Poignées"
"Inside and outside","Intérieur extérieur"
"No handle","Pas de poignée"
"Frame","Cadre"
"Window","Fenêtre"
"Out frame","Cadre extérieur"
"Out tablet","Tablette extérieur"
"In tablet","Tablette intérieur"
"Blind","Store"
"Rows","Lignes"
"Number of rows","Nombre de lignes"
"fixed","Fixe"
"Components","Composants"
"Window Presets","Fenêtres prédéfinies"
"Enable glass","Activer verre"
"Hole","Percement"
"Top Round","Sommet Rond"
"Top elliptic","Sommet elliptique"
"Full circle","Rond"
"Top oblique","Sommet oblique"
"Flat window","Fenêtre à battants"
"Rail window","Fenêtre coulissante"
"Ellipsis","Ellipse"
"Truss","Poutre en treillis"